packet,page_key,boundary_label,timestamp_utc,mode,main_states_or_error,ref_states_or_error,classification
02,dse~ZZZDataUSAConstructionWageLive,before save:dse~ZZZDataUSAConstructionWageLive@9,2026-06-19T14:40:17.999999+00:00,nominal,"[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@8')]","[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@8')]",MATCH
02,dse~ZZZDataUSAConstructionWageLive,at/after save:dse~ZZZDataUSAConstructionWageLive@9,2026-06-19T14:40:18+00:00,nominal,"[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@9')]","[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@9')]",MATCH
02,dse~ZZZDataUSAConstructionWageLive,before save:dse~ZZZDataUSAConstructionWageLive@10,2026-06-19T14:44:30.999999+00:00,nominal,"[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@9')]","[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@9')]",MATCH
02,dse~ZZZDataUSAConstructionWageLive,at/after save:dse~ZZZDataUSAConstructionWageLive@10,2026-06-19T14:44:31+00:00,nominal,"[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@10')]","[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@10')]",MATCH
02,dse~ZZZDataUSAConstructionWageLive,before delete:dse:rclog:145611,2026-06-19T15:46:48.999999+00:00,nominal,"[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@10')]","[('live_body_ref', 'dse~ZZZDataUSAConstructionWageLive@10')]",MATCH
02,dse~ZZZDataUSAConstructionWageLive,at/after delete:dse:rclog:145611,2026-06-19T15:46:49+00:00,nominal,"[('deleted', None)]","[('deleted', None)]",MATCH
03,dse~AgentLinkma21JuneAA,before save:dse~AgentLinkma21JuneAA@1,2026-06-18T16:00:50.999999+00:00,nominal,"[('unknown', None)]","[('unknown', None)]",MATCH
03,dse~AgentLinkma21JuneAA,at/after save:dse~AgentLinkma21JuneAA@1,2026-06-18T16:00:51+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@1')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@1')]",MATCH
03,dse~AgentLinkma21JuneAA,before save:dse~AgentLinkma21JuneAA@2,2026-06-18T16:37:12.999999+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@1')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@1')]",MATCH
03,dse~AgentLinkma21JuneAA,at/after save:dse~AgentLinkma21JuneAA@2,2026-06-18T16:37:13+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@2')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@2')]",MATCH
03,dse~AgentLinkma21JuneAA,before save:dse~AgentLinkma21JuneAA@3,2026-06-18T16:38:24.999999+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@2')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@2')]",MATCH
03,dse~AgentLinkma21JuneAA,at/after save:dse~AgentLinkma21JuneAA@3,2026-06-18T16:38:25+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@3')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@3')]",MATCH
03,dse~AgentLinkma21JuneAA,before save:dse~AgentLinkma21JuneAA@4,2026-06-18T16:40:32.999999+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@3')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@3')]",MATCH
03,dse~AgentLinkma21JuneAA,at/after save:dse~AgentLinkma21JuneAA@4,2026-06-18T16:40:33+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@4')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@4')]",MATCH
03,dse~AgentLinkma21JuneAA,before save:dse~AgentLinkma21JuneAA@5,2026-06-18T16:48:22.999999+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@4')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@4')]",MATCH
03,dse~AgentLinkma21JuneAA,at/after save:dse~AgentLinkma21JuneAA@5,2026-06-18T16:48:23+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@5')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@5')]",MATCH
03,dse~AgentLinkma21JuneAA,before save:dse~AgentLinkma21JuneAA@6,2026-06-18T16:48:44.999999+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@5')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@5')]",MATCH
03,dse~AgentLinkma21JuneAA,at/after save:dse~AgentLinkma21JuneAA@6,2026-06-18T16:48:45+00:00,nominal,"[('live_body_ref', 'dse~AgentLinkma21JuneAA@6')]","[('live_body_ref', 'dse~AgentLinkma21JuneAA@6')]",MATCH
